flux,loglam,ivar,and_mask,or_mask,wdisp,sky,model
156.88939,3.5977,0.021946793,0,0,1.1612681,3.9793024,134.673
149.34222,3.5978,0.022372678,0,0,1.1610663,4.490209,133.50621
148.3166,3.5979,0.022550073,0,0,1.1608647,4.2907352,133.1362
137.27325,3.598,0.023762716,0,0,1.160666,3.4702668,131.16035
128.80214,3.5981,0.024854254,0,0,1.1604683,2.7454922,132.40775
138.20163,3.5982,0.023580777,0,0,1.1602658,2.439398,137.33333
140.46149,3.5983,0.023016626,0,0,1.1600652,2.463301,134.37346
138.1177,3.5984,0.023015494,0,0,1.1598616,2.5442934,135.75917
148.666,3.5985,0.021909373,0,0,1.1596597,2.6918807,136.51936
136.47142,3.5986,0.023912115,0,0,1.1594595,2.8160658,133.95192
123.148895,3.5987,0.025475152,0,0,1.1592591,2.8379602,132.12958
126.68634,3.5988,0.025521208,0,0,1.1590571,2.7543366,132.81831
131.44214,3.5989,0.0248051,0,0,1.1588563,2.679464,129.33786
132.41695,3.599,0.025063233,0,0,1.1586525,2.798288,126.98373
132.19241,3.5991,0.024916468,0,0,1.1584562,3.1928754,129.9913
116.60627,3.5992,0.027873252,0,0,1.1582525,3.706725,129.07092
122.68936,3.5993,0.027145507,0,0,1.1580534,4.053242,125.60109
124.25455,3.5994,0.027553504,0,0,1.1578524,4.0482635,125.87466
109.78034,3.5995,0.030419102,0,0,1.1576508,3.9682403,126.04457
113.815506,3.5996,0.030808497,0,0,1.1574478,4.0605965,124.89726
114.850464,3.5997,0.03120267,0,0,1.1572464,4.0359635,122.24541
111.58455,3.5998,0.033150014,0,0,1.157047,3.9031248,120.8803
107.78758,3.5999,0.034673158,0,0,1.1568513,3.8793406,123.334755
109.431335,3.6,0.03502414,0,0,1.1566501,4.12481,128.98183
123.37431,3.6001,0.03258639,0,0,1.1564475,4.583794,133.78041
125.0119,3.6002,0.032268196,0,0,1.1562501,4.7134876,137.50507
137.56628,3.6003,0.03015081,0,0,1.1560493,4.4481034,137.97285
132.00578,3.6004,0.031726986,0,0,1.1558503,4.0518713,140.12277
129.19064,3.6005,0.032104086,0,0,1.1556475,3.3301582,143.22044
136.07338,3.6006,0.030761551,0,0,1.1554463,3.0009263,143.58632
142.05966,3.6007,0.029505,0,0,1.1552494,3.4101384,143.28566
139.2421,3.6008,0.02909906,0,0,1.1550484,4.1965737,145.28969
144.53433,3.6009,0.028725693,0,0,1.1548467,4.6922793,147.79889
154.0601,3.601,0.027434438,0,0,1.1546501,4.584818,145.8021
145.89046,3.6011,0.02879956,0,0,1.1544473,4.105218,143.72925
145.54617,3.6012,0.029338822,0,0,1.1542466,3.6101813,146.42955
154.18388,3.6013,0.028258022,0,0,1.154051,3.7348309,147.02232
139.4453,3.6014,0.03105524,0,0,1.1538472,4.1969733,145.51761
143.02417,3.6015,0.030903826,0,0,1.1536477,4.4240575,147.62842
145.70325,3.6016,0.030163692,0,0,1.1534474,4.187639,146.03358
146.94948,3.6017,0.02990314,0,0,1.1532488,3.6821926,143.63075
144.95001,3.6018,0.03010074,0,0,1.1530508,3.4115288,147.35306
